2023-05-15 17:13:54
timeslot,id,type,commCost,runCost,InstanCost,iscold,singleCost
Topo name ,config/site-optus-melbCBD.csv
Request file ,config/sorted.csv
CommCostPara,1
MemCap,10000
NodeNum,10
Beta,0.5
SlotNum,30
ReduFactor,10
Alpha,0.02
cpuFreq,3
coldNum,servedNum,totalNum,coldfreq,avgcommcost,avginstancost,avgLatenCost,avgruncost,avgcost
37502,52835,272346,0.709795,0.113057,24.2004,24.3134,5.92119,30.2253
2023-05-15 17:14:43
timeslot,id,type,commCost,runCost,InstanCost,iscold,singleCost
Topo name ,config/site-optus-melbCBD.csv
Request file ,config/sorted.csv
CommCostPara,1
MemCap,10000
NodeNum,10
Beta,0.5
SlotNum,30
ReduFactor,10
Alpha,0.04
cpuFreq,3
coldNum,servedNum,totalNum,coldfreq,avgcommcost,avginstancost,avgLatenCost,avgruncost,avgcost
37502,52835,272346,0.709795,0.113057,24.2004,24.3134,11.8424,36.1386
2023-05-15 17:14:47
timeslot,id,type,commCost,runCost,InstanCost,iscold,singleCost
Topo name ,config/site-optus-melbCBD.csv
Request file ,config/sorted.csv
CommCostPara,1
MemCap,10000
NodeNum,10
Beta,0.5
SlotNum,30
ReduFactor,10
Alpha,0.05
cpuFreq,3
coldNum,servedNum,totalNum,coldfreq,avgcommcost,avginstancost,avgLatenCost,avgruncost,avgcost
37502,52835,272346,0.709795,0.113057,24.2004,24.3134,14.8002,39.1225
2023-05-15 17:15:58
timeslot,id,type,commCost,runCost,InstanCost,iscold,singleCost
Topo name ,config/site-optus-melbCBD.csv
Request file ,config/sorted.csv
CommCostPara,1
MemCap,10000
NodeNum,10
Beta,0.5
SlotNum,30
ReduFactor,10
Alpha,0.01
cpuFreq,3
coldNum,servedNum,totalNum,coldfreq,avgcommcost,avginstancost,avgLatenCost,avgruncost,avgcost
37502,52835,272346,0.709795,0.113057,24.2004,24.3134,2.96059,27.2753
2023-05-18 17:16:34
timeslot,id,type,commCost,runCost,InstanCost,iscold,singleCost
Topo name ,config/site-optus-melbCBD.csv
Request file ,config/sorted.csv
CommCostPara,1
MemCap,10000
NodeNum,10
Beta,0.5
SlotNum,30
ReduFactor,10
Alpha,0.03
cpuFreq,3
coldNum,servedNum,totalNum,coldfreq,avgcommcost,avginstancost,avgLatenCost,avgruncost,avgcost
37502,52835,272346,0.709795,0.113057,24.2004,24.3134,8.87775,33.1811
