" "," "
Time,2023-06-03 08:56:07.664799004 +0100 BST m=+0.249954131
Toponame,./config/pi_nodes.csv
RequestFile,./config/sorted.csv
MemCap,1000.000
NodeNum,10
Beta,1.500
SlotNum,30
ReduFactor,10000.000
Token,local
Alpha,0.001
CommCostPara,1.000
Testbed,0
CpuFreq,3.000
" "," "
ID,funcType,commCost,runCost,instanCost,iscold,singlecost
0.00,1.00,0.00,0.17,18.62,1.00,18.78
1.00,1.00,0.00,0.17,18.62,1.00,18.78
2.00,1.00,0.00,0.17,18.62,1.00,18.78
3.00,1.00,0.00,0.17,18.62,1.00,18.78
4.00,1.00,0.00,0.17,18.62,1.00,18.78
5.00,1.00,0.00,0.17,18.62,1.00,18.78
6.00,1.00,0.00,0.17,18.62,1.00,18.78
7.00,1.00,0.00,0.17,18.62,1.00,18.78
8.00,2.00,0.00,0.48,52.98,1.00,53.46
9.00,2.00,0.00,0.48,52.98,1.00,53.46
10.00,2.00,0.00,0.48,52.98,1.00,53.46
11.00,2.00,0.00,0.48,52.98,1.00,53.46
12.00,2.00,0.00,0.48,52.98,1.00,53.46
13.00,2.00,0.00,0.48,52.98,1.00,53.46
14.00,2.00,0.00,0.48,52.98,1.00,53.46
15.00,2.00,0.00,0.48,52.98,1.00,53.46
16.00,2.00,0.00,0.48,52.98,1.00,53.46
8475.00,3.00,0.00,0.99,110.37,1.00,111.36
8476.00,3.00,0.00,0.99,110.37,1.00,111.36
8477.00,3.00,0.00,0.99,110.37,1.00,111.36
8478.00,3.00,0.00,0.99,110.37,1.00,111.36
8479.00,3.00,0.00,0.99,110.37,1.00,111.36
8480.00,3.00,0.00,0.99,110.37,1.00,111.36
8481.00,3.00,0.00,0.99,110.37,1.00,111.36
8482.00,3.00,0.00,0.99,110.37,1.00,111.36
15649.00,4.00,0.00,0.28,30.59,1.00,30.87
15650.00,4.00,0.00,0.28,30.59,1.00,30.87
23.00,2.00,0.00,0.48,52.98,1.00,53.46
24.00,2.00,0.00,0.48,52.98,1.00,53.46
25.00,2.00,0.00,0.48,52.98,1.00,53.46
8488.00,3.00,0.74,0.99,0.00,0.00,1.74
8489.00,3.00,1.50,0.99,0.00,0.00,2.50
15653.00,4.00,0.66,0.28,0.00,0.00,0.93
27.00,2.00,0.93,0.48,0.00,0.00,1.41
28.00,2.00,0.93,0.48,0.00,0.00,1.41
29.00,2.00,0.00,0.48,52.98,1.00,53.46
30.00,2.00,0.00,0.48,52.98,1.00,53.46
31.00,2.00,0.00,0.48,52.98,1.00,53.46
32.00,2.00,0.00,0.48,52.98,1.00,53.46
33.00,2.00,0.00,0.48,52.98,1.00,53.46
34.00,2.00,0.00,0.48,52.98,1.00,53.46
8495.00,3.00,0.74,0.99,0.00,0.00,1.74
8496.00,3.00,0.00,0.99,110.37,1.00,111.36
15656.00,4.00,0.66,0.28,0.00,0.00,0.93
41.00,2.00,0.00,0.48,52.98,1.00,53.46
42.00,2.00,0.00,0.48,52.98,1.00,53.46
43.00,2.00,0.00,0.48,52.98,1.00,53.46
8502.00,3.00,0.93,0.99,0.00,0.00,1.92
8503.00,3.00,0.00,0.99,110.37,1.00,111.36
15659.00,4.00,0.66,0.28,0.00,0.00,0.93
45.00,2.00,0.93,0.48,0.00,0.00,1.41
46.00,2.00,0.93,0.48,0.00,0.00,1.41
47.00,2.00,0.93,0.48,0.00,0.00,1.41
48.00,2.00,0.00,0.48,52.98,1.00,53.46
49.00,2.00,0.00,0.48,52.98,1.00,53.46
50.00,2.00,0.00,0.48,52.98,1.00,53.46
51.00,2.00,0.00,0.48,52.98,1.00,53.46
52.00,2.00,0.00,0.48,52.98,1.00,53.46
8509.00,3.00,0.93,0.99,0.00,0.00,1.92
8510.00,3.00,0.00,0.99,110.37,1.00,111.36
15662.00,4.00,0.66,0.28,0.00,0.00,0.93
53.00,2.00,0.93,0.48,0.00,0.00,1.41
54.00,2.00,0.93,0.48,0.00,0.00,1.41
55.00,2.00,0.00,0.48,52.98,1.00,53.46
56.00,2.00,0.00,0.48,52.98,1.00,53.46
57.00,2.00,0.00,0.48,52.98,1.00,53.46
58.00,2.00,0.00,0.48,52.98,1.00,53.46
59.00,2.00,0.00,0.48,52.98,1.00,53.46
60.00,2.00,0.00,0.48,52.98,1.00,53.46
61.00,2.00,0.00,0.48,52.98,1.00,53.46
8516.00,3.00,0.93,0.99,0.00,0.00,1.92
8517.00,3.00,0.00,0.99,110.37,1.00,111.36
15665.00,4.00,0.66,0.28,0.00,0.00,0.93
8523.00,3.00,0.93,0.99,0.00,0.00,1.92
8524.00,3.00,0.00,0.99,110.37,1.00,111.36
15668.00,4.00,0.66,0.28,0.00,0.00,0.93
72.00,2.00,0.93,0.48,0.00,0.00,1.41
73.00,2.00,0.00,0.48,52.98,1.00,53.46
74.00,2.00,0.00,0.48,52.98,1.00,53.46
75.00,2.00,0.00,0.48,52.98,1.00,53.46
76.00,2.00,0.00,0.48,52.98,1.00,53.46
77.00,2.00,0.00,0.48,52.98,1.00,53.46
78.00,2.00,0.00,0.48,52.98,1.00,53.46
79.00,2.00,0.00,0.48,52.98,1.00,53.46
80.00,2.00,0.00,0.48,52.98,1.00,53.46
81.00,2.00,0.00,0.48,52.98,1.00,53.46
8530.00,3.00,0.93,0.99,0.00,0.00,1.92
8531.00,3.00,0.00,0.99,110.37,1.00,111.36
15671.00,4.00,0.66,0.28,0.00,0.00,0.93
8537.00,3.00,0.93,0.99,0.00,0.00,1.92
8538.00,3.00,0.00,0.99,110.37,1.00,111.36
15674.00,4.00,0.66,0.28,0.00,0.00,0.93
92.00,2.00,1.50,0.48,0.00,0.00,1.98
93.00,2.00,0.00,0.48,52.98,1.00,53.46
94.00,2.00,0.00,0.48,52.98,1.00,53.46
95.00,2.00,0.00,0.48,52.98,1.00,53.46
96.00,2.00,0.00,0.48,52.98,1.00,53.46
97.00,2.00,0.00,0.48,52.98,1.00,53.46
98.00,2.00,0.00,0.48,52.98,1.00,53.46
99.00,2.00,0.00,0.48,52.98,1.00,53.46
100.00,2.00,0.00,0.48,52.98,1.00,53.46
101.00,2.00,0.00,0.48,52.98,1.00,53.46
8544.00,3.00,0.93,0.99,0.00,0.00,1.92
8545.00,3.00,0.00,0.99,110.37,1.00,111.36
15677.00,4.00,0.66,0.28,0.00,0.00,0.93
109.00,2.00,0.97,0.48,0.00,0.00,1.45
110.00,2.00,0.93,0.48,0.00,0.00,1.41
8551.00,3.00,0.93,0.99,0.00,0.00,1.92
8552.00,3.00,0.00,0.99,110.37,1.00,111.36
15680.00,4.00,0.66,0.28,0.00,0.00,0.93
118.00,2.00,0.97,0.48,0.00,0.00,1.45
119.00,2.00,0.00,0.48,52.98,1.00,53.46
8558.00,3.00,0.93,0.99,0.00,0.00,1.92
8559.00,3.00,0.00,0.99,110.37,1.00,111.36
15683.00,4.00,0.66,0.28,0.00,0.00,0.93
