2023-06-03 11:36:15
timeslot,id,type,commCost,runCost,InstanCost,iscold,singleCost
Topo name ,config/site-optus-melbCBD.csv
Request file ,config/sorted.csv
CommCostPara,1
MemCap,10000
NodeNum,10
Beta,0.5
SlotNum,30
ReduFactor,10
Alpha,0.005
cpuFreq,3
coldNum,servedNum,totalNum,coldfreq,avgcommcost,avginstancost,avgLatenCost,avgruncost,avgcost
13760,68074,272346,0.202133,0.0706692,8.14126,8.21193,1.26452,9.4685
2023-06-03 11:36:57
timeslot,id,type,commCost,runCost,InstanCost,iscold,singleCost
Topo name ,config/site-optus-melbCBD.csv
Request file ,config/sorted.csv
CommCostPara,1
MemCap,10000
NodeNum,10
Beta,0.5
SlotNum,30
ReduFactor,10
Alpha,0.015
cpuFreq,3
coldNum,servedNum,totalNum,coldfreq,avgcommcost,avginstancost,avgLatenCost,avgruncost,avgcost
13992,50334,272346,0.277983,0.112882,10.8874,11.0003,4.14749,15.1609
2023-06-03 11:38:09
timeslot,id,type,commCost,runCost,InstanCost,iscold,singleCost
Topo name ,config/site-optus-melbCBD.csv
Request file ,config/sorted.csv
CommCostPara,1
MemCap,10000
NodeNum,10
Beta,0.5
SlotNum,30
ReduFactor,10
Alpha,0.001
cpuFreq,3
coldNum,servedNum,totalNum,coldfreq,avgcommcost,avginstancost,avgLatenCost,avgruncost,avgcost
13651,64251,272346,0.212464,0.0789191,8.55535,8.63427,0.257768,8.90041
2023-06-03 11:38:25
timeslot,id,type,commCost,runCost,InstanCost,iscold,singleCost
Topo name ,config/site-optus-melbCBD.csv
Request file ,config/sorted.csv
CommCostPara,1
MemCap,10000
NodeNum,10
Beta,0.5
SlotNum,30
ReduFactor,10
Alpha,0.002
cpuFreq,3
coldNum,servedNum,totalNum,coldfreq,avgcommcost,avginstancost,avgLatenCost,avgruncost,avgcost
13933,58255,272346,0.239173,0.0923364,9.49399,9.58633,0.533235,10.1157
2023-06-03 11:38:44
timeslot,id,type,commCost,runCost,InstanCost,iscold,singleCost
Topo name ,config/site-optus-melbCBD.csv
Request file ,config/sorted.csv
CommCostPara,1
MemCap,10000
NodeNum,10
Beta,0.5
SlotNum,30
ReduFactor,10
Alpha,0.01
cpuFreq,3
coldNum,servedNum,totalNum,coldfreq,avgcommcost,avginstancost,avgLatenCost,avgruncost,avgcost
13837,64664,272346,0.213983,0.0794081,8.59173,8.67114,2.58846,11.249
2023-06-03 15:47:58
timeslot,id,type,commCost,runCost,InstanCost,iscold,singleCost
Topo name ,config/site-optus-melbCBD.csv
Request file ,config/sorted.csv
CommCostPara,1
MemCap,10000
NodeNum,10
Beta,0.5
SlotNum,30
ReduFactor,10
Alpha,0.001
cpuFreq,3
coldNum,servedNum,totalNum,coldfreq,avgcommcost,avginstancost,avgLatenCost,avgruncost,avgcost
13854,64663,272346,0.214249,0.0802383,8.56659,8.64682,0.258508,8.9138
2023-06-03 15:48:25
timeslot,id,type,commCost,runCost,InstanCost,iscold,singleCost
Topo name ,config/site-optus-melbCBD.csv
Request file ,config/sorted.csv
CommCostPara,1
MemCap,10000
NodeNum,10
Beta,0.5
SlotNum,30
ReduFactor,10
Alpha,0.002
cpuFreq,3
coldNum,servedNum,totalNum,coldfreq,avgcommcost,avginstancost,avgLatenCost,avgruncost,avgcost
13858,59550,272346,0.232712,0.0908157,9.25774,9.34855,0.529927,9.87258
2023-06-03 15:48:49
timeslot,id,type,commCost,runCost,InstanCost,iscold,singleCost
Topo name ,config/site-optus-melbCBD.csv
Request file ,config/sorted.csv
CommCostPara,1
MemCap,10000
NodeNum,10
Beta,0.5
SlotNum,30
ReduFactor,10
Alpha,0.015
cpuFreq,3
coldNum,servedNum,totalNum,coldfreq,avgcommcost,avginstancost,avgLatenCost,avgruncost,avgcost
13548,71917,272346,0.188384,0.0648836,7.69587,7.76075,3.70443,11.4827
2023-06-03 15:49:04
timeslot,id,type,commCost,runCost,InstanCost,iscold,singleCost
Topo name ,config/site-optus-melbCBD.csv
Request file ,config/sorted.csv
CommCostPara,1
MemCap,10000
NodeNum,10
Beta,0.5
SlotNum,30
ReduFactor,10
Alpha,0.005
cpuFreq,3
coldNum,servedNum,totalNum,coldfreq,avgcommcost,avginstancost,avgLatenCost,avgruncost,avgcost
13722,51416,272346,0.266882,0.11471,10.5375,10.6523,1.39941,12.0464
2023-06-03 15:49:17
timeslot,id,type,commCost,runCost,InstanCost,iscold,singleCost
Topo name ,config/site-optus-melbCBD.csv
Request file ,config/sorted.csv
CommCostPara,1
MemCap,10000
NodeNum,10
Beta,0.5
SlotNum,30
ReduFactor,10
Alpha,0.01
cpuFreq,3
coldNum,servedNum,totalNum,coldfreq,avgcommcost,avginstancost,avgLatenCost,avgruncost,avgcost
13915,56549,272346,0.24607,0.0994752,9.69217,9.79165,2.68179,12.4657
2023-06-03 17:09:15
timeslot,id,type,commCost,runCost,InstanCost,iscold,singleCost
Topo name ,config/site-optus-melbCBD.csv
Request file ,config/sorted.csv
CommCostPara,1
MemCap,10000
NodeNum,10
Beta,0.5
SlotNum,30
ReduFactor,10
Alpha,0.002
cpuFreq,3
coldNum,servedNum,totalNum,coldfreq,avgcommcost,avginstancost,avgLatenCost,avgruncost,avgcost
13594,53743,272346,0.252945,0.115503,10.0464,10.1619,0.551281,10.7079
2023-06-03 17:09:17
timeslot,id,type,commCost,runCost,InstanCost,iscold,singleCost
Topo name ,config/site-optus-melbCBD.csv
Request file ,config/sorted.csv
CommCostPara,1
MemCap,10000
NodeNum,10
Beta,0.5
SlotNum,30
ReduFactor,10
Alpha,0.005
cpuFreq,3
coldNum,servedNum,totalNum,coldfreq,avgcommcost,avginstancost,avgLatenCost,avgruncost,avgcost
13594,53743,272346,0.252945,0.115503,10.0464,10.1619,1.37813,11.534
2023-06-03 17:09:49
timeslot,id,type,commCost,runCost,InstanCost,iscold,singleCost
Topo name ,config/site-optus-melbCBD.csv
Request file ,config/sorted.csv
CommCostPara,1
MemCap,10000
NodeNum,10
Beta,0.5
SlotNum,30
ReduFactor,10
Alpha,0.015
cpuFreq,3
coldNum,servedNum,totalNum,coldfreq,avgcommcost,avginstancost,avgLatenCost,avgruncost,avgcost
13391,62555,272346,0.214068,0.0821834,8.70291,8.78509,3.91893,12.7203
2023-06-03 17:09:51
timeslot,id,type,commCost,runCost,InstanCost,iscold,singleCost
Topo name ,config/site-optus-melbCBD.csv
Request file ,config/sorted.csv
CommCostPara,1
MemCap,10000
NodeNum,10
Beta,0.5
SlotNum,30
ReduFactor,10
Alpha,0.001
cpuFreq,3
coldNum,servedNum,totalNum,coldfreq,avgcommcost,avginstancost,avgLatenCost,avgruncost,avgcost
13784,55527,272346,0.24824,0.105779,9.87788,9.98366,0.271435,10.2635
2023-06-03 17:10:01
timeslot,id,type,commCost,runCost,InstanCost,iscold,singleCost
Topo name ,config/site-optus-melbCBD.csv
Request file ,config/sorted.csv
CommCostPara,1
MemCap,10000
NodeNum,10
Beta,0.5
SlotNum,30
ReduFactor,10
Alpha,0.01
cpuFreq,3
coldNum,servedNum,totalNum,coldfreq,avgcommcost,avginstancost,avgLatenCost,avgruncost,avgcost
13651,62813,272346,0.217328,0.0873444,8.73756,8.82491,2.6154,11.4302
2023-06-03 20:49:47
timeslot,id,type,commCost,runCost,InstanCost,iscold,singleCost
Topo name ,config/site-optus-melbCBD.csv
Request file ,config/sorted.csv
CommCostPara,1
MemCap,10000
NodeNum,10
Beta,0.5
SlotNum,30
ReduFactor,10
Alpha,0.005
cpuFreq,3
coldNum,servedNum,totalNum,coldfreq,avgcommcost,avginstancost,avgLatenCost,avgruncost,avgcost
13764,64895,272346,0.212096,0.0802873,8.52204,8.60232,1.29387,9.88866
2023-06-03 20:49:52
timeslot,id,type,commCost,runCost,InstanCost,iscold,singleCost
Topo name ,config/site-optus-melbCBD.csv
Request file ,config/sorted.csv
CommCostPara,1
MemCap,10000
NodeNum,10
Beta,0.5
SlotNum,30
ReduFactor,10
Alpha,0.002
cpuFreq,3
coldNum,servedNum,totalNum,coldfreq,avgcommcost,avginstancost,avgLatenCost,avgruncost,avgcost
13449,66775,272346,0.201408,0.0705413,8.20428,8.27483,0.509838,8.77898
2023-06-03 20:49:53
timeslot,id,type,commCost,runCost,InstanCost,iscold,singleCost
Topo name ,config/site-optus-melbCBD.csv
Request file ,config/sorted.csv
CommCostPara,1
MemCap,10000
NodeNum,10
Beta,0.5
SlotNum,30
ReduFactor,10
Alpha,0.01
cpuFreq,3
coldNum,servedNum,totalNum,coldfreq,avgcommcost,avginstancost,avgLatenCost,avgruncost,avgcost
13615,60668,272346,0.224418,0.0900995,9.0361,9.1262,2.65499,11.7717
2023-06-03 20:49:57
timeslot,id,type,commCost,runCost,InstanCost,iscold,singleCost
Topo name ,config/site-optus-melbCBD.csv
Request file ,config/sorted.csv
CommCostPara,1
MemCap,10000
NodeNum,10
Beta,0.5
SlotNum,30
ReduFactor,10
Alpha,0.015
cpuFreq,3
coldNum,servedNum,totalNum,coldfreq,avgcommcost,avginstancost,avgLatenCost,avgruncost,avgcost
13791,53102,272346,0.259708,0.117217,10.2917,10.4089,4.17347,14.5957
2023-06-03 20:50:52
timeslot,id,type,commCost,runCost,InstanCost,iscold,singleCost
Topo name ,config/site-optus-melbCBD.csv
Request file ,config/sorted.csv
CommCostPara,1
MemCap,10000
NodeNum,10
Beta,0.5
SlotNum,30
ReduFactor,10
Alpha,0.001
cpuFreq,3
coldNum,servedNum,totalNum,coldfreq,avgcommcost,avginstancost,avgLatenCost,avgruncost,avgcost
13645,64998,272346,0.20993,0.0765818,8.46167,8.53825,0.257943,8.80383
2023-06-03 22:56:42
timeslot,id,type,commCost,runCost,InstanCost,iscold,singleCost
Topo name ,config/site-optus-melbCBD.csv
Request file ,config/sorted.csv
CommCostPara,1
MemCap,10000
NodeNum,10
Beta,0.5
SlotNum,30
ReduFactor,10
Alpha,0.015
cpuFreq,3
coldNum,servedNum,totalNum,coldfreq,avgcommcost,avginstancost,avgLatenCost,avgruncost,avgcost
13659,60034,272346,0.227521,0.0824465,9.12882,9.21127,3.89255,13.1197
2023-06-03 22:57:22
timeslot,id,type,commCost,runCost,InstanCost,iscold,singleCost
Topo name ,config/site-optus-melbCBD.csv
Request file ,config/sorted.csv
CommCostPara,1
MemCap,10000
NodeNum,10
Beta,0.5
SlotNum,30
ReduFactor,10
Alpha,0.01
cpuFreq,3
coldNum,servedNum,totalNum,coldfreq,avgcommcost,avginstancost,avgLatenCost,avgruncost,avgcost
13877,50940,272346,0.272419,0.115179,10.6874,10.8025,2.75246,13.5473
