" "," "
Time,2023-06-03 08:35:53.20373567 +0100 BST m=+0.193322722
Toponame,./config/pi_nodes.csv
RequestFile,./config/sorted.csv
MemCap,1000.000
NodeNum,10
Beta,1.500
SlotNum,30
ReduFactor,10000.000
Token,local
Alpha,0.001
CommCostPara,1.000
Testbed,0
CpuFreq,3.000
" "," "
ID,funcType,commCost,runCost,instanCost,iscold,singlecost
0.00,1.00,0.00,0.17,18.62,1.00,18.78
1.00,1.00,0.00,0.17,18.62,1.00,18.78
2.00,1.00,0.00,0.17,18.62,1.00,18.78
3.00,1.00,0.00,0.17,18.62,1.00,18.78
4.00,1.00,0.00,0.17,18.62,1.00,18.78
5.00,1.00,0.00,0.17,18.62,1.00,18.78
6.00,1.00,0.00,0.17,18.62,1.00,18.78
7.00,1.00,0.00,0.17,18.62,1.00,18.78
8.00,2.00,0.00,0.48,52.98,1.00,53.46
9.00,2.00,0.00,0.48,52.98,1.00,53.46
10.00,2.00,0.00,0.48,52.98,1.00,53.46
11.00,2.00,0.00,0.48,52.98,1.00,53.46
12.00,2.00,0.00,0.48,52.98,1.00,53.46
13.00,2.00,0.00,0.48,52.98,1.00,53.46
14.00,2.00,0.00,0.48,52.98,1.00,53.46
15.00,2.00,0.00,0.48,52.98,1.00,53.46
16.00,2.00,0.00,0.48,52.98,1.00,53.46
8479.00,3.00,0.00,0.99,110.37,1.00,111.36
8480.00,3.00,0.00,0.99,110.37,1.00,111.36
8481.00,3.00,0.00,0.99,110.37,1.00,111.36
8482.00,3.00,0.00,0.99,110.37,1.00,111.36
15649.00,4.00,0.00,0.28,30.59,1.00,30.87
15650.00,4.00,0.00,0.28,30.59,1.00,30.87
17.00,2.00,0.00,0.48,0.00,0.00,0.48
18.00,2.00,0.00,0.48,0.00,0.00,0.48
19.00,2.00,0.93,0.48,0.00,0.00,1.41
21.00,2.00,0.00,0.48,52.98,1.00,53.46
22.00,2.00,0.00,0.48,52.98,1.00,53.46
23.00,2.00,0.00,0.48,52.98,1.00,53.46
24.00,2.00,0.00,0.48,52.98,1.00,53.46
25.00,2.00,0.00,0.48,52.98,1.00,53.46
8483.00,3.00,0.93,0.99,0.00,0.00,1.92
8488.00,3.00,0.00,0.99,110.37,1.00,111.36
8489.00,3.00,0.00,0.99,110.37,1.00,111.36
15651.00,4.00,0.00,0.28,0.00,0.00,0.28
15652.00,4.00,0.46,0.28,0.00,0.00,0.74
15653.00,4.00,0.00,0.28,30.59,1.00,30.87
26.00,2.00,0.00,0.48,0.00,0.00,0.48
27.00,2.00,0.93,0.48,0.00,0.00,1.41
28.00,2.00,0.46,0.48,0.00,0.00,0.94
29.00,2.00,0.00,0.48,52.98,1.00,53.46
30.00,2.00,0.00,0.48,52.98,1.00,53.46
32.00,2.00,0.00,0.48,52.98,1.00,53.46
33.00,2.00,0.00,0.48,52.98,1.00,53.46
34.00,2.00,0.00,0.48,52.98,1.00,53.46
8490.00,3.00,1.50,0.99,0.00,0.00,2.50
8495.00,3.00,0.00,0.99,110.37,1.00,111.36
8496.00,3.00,0.00,0.99,110.37,1.00,111.36
15654.00,4.00,0.47,0.28,0.00,0.00,0.74
35.00,2.00,0.00,0.48,0.00,0.00,0.48
36.00,2.00,0.93,0.48,0.00,0.00,1.41
37.00,2.00,0.46,0.48,0.00,0.00,0.94
41.00,2.00,0.00,0.48,52.98,1.00,53.46
42.00,2.00,0.00,0.48,52.98,1.00,53.46
8497.00,3.00,1.50,0.99,0.00,0.00,2.50
8502.00,3.00,0.00,0.99,110.37,1.00,111.36
15657.00,4.00,0.47,0.28,0.00,0.00,0.74
15658.00,4.00,0.00,0.28,30.59,1.00,30.87
15659.00,4.00,0.00,0.28,30.59,1.00,30.87
44.00,2.00,0.00,0.48,0.00,0.00,0.48
45.00,2.00,0.93,0.48,0.00,0.00,1.41
50.00,2.00,0.00,0.48,52.98,1.00,53.46
52.00,2.00,0.00,0.48,52.98,1.00,53.46
8504.00,3.00,1.50,0.99,0.00,0.00,2.50
15660.00,4.00,0.00,0.28,30.59,1.00,30.87
53.00,2.00,0.00,0.48,0.00,0.00,0.48
54.00,2.00,0.93,0.48,0.00,0.00,1.41
60.00,2.00,0.00,0.48,52.98,1.00,53.46
61.00,2.00,0.00,0.48,52.98,1.00,53.46
8511.00,3.00,1.50,0.99,0.00,0.00,2.50
15663.00,4.00,0.00,0.28,0.00,0.00,0.28
62.00,2.00,0.00,0.48,0.00,0.00,0.48
63.00,2.00,0.93,0.48,0.00,0.00,1.41
69.00,2.00,0.00,0.48,52.98,1.00,53.46
8518.00,3.00,1.50,0.99,0.00,0.00,2.50
15666.00,4.00,0.00,0.28,30.59,1.00,30.87
71.00,2.00,0.00,0.48,0.00,0.00,0.48
72.00,2.00,0.93,0.48,0.00,0.00,1.41
79.00,2.00,0.00,0.48,52.98,1.00,53.46
80.00,2.00,0.00,0.48,52.98,1.00,53.46
81.00,2.00,0.00,0.48,52.98,1.00,53.46
8525.00,3.00,1.50,0.99,0.00,0.00,2.50
15669.00,4.00,0.00,0.28,0.00,0.00,0.28
82.00,2.00,0.00,0.48,0.00,0.00,0.48
83.00,2.00,1.50,0.48,0.00,0.00,1.98
8532.00,3.00,1.50,0.99,0.00,0.00,2.50
15672.00,4.00,0.00,0.28,30.59,1.00,30.87
91.00,2.00,0.00,0.48,0.00,0.00,0.48
92.00,2.00,1.50,0.48,0.00,0.00,1.98
99.00,2.00,0.00,0.48,52.98,1.00,53.46
100.00,2.00,0.00,0.48,52.98,1.00,53.46
101.00,2.00,0.00,0.48,52.98,1.00,53.46
8545.00,3.00,0.00,0.99,110.37,1.00,111.36
15675.00,4.00,0.00,0.28,0.00,0.00,0.28
102.00,2.00,0.00,0.48,0.00,0.00,0.48
103.00,2.00,1.50,0.48,0.00,0.00,1.98
8546.00,3.00,1.50,0.99,0.00,0.00,2.50
15678.00,4.00,0.00,0.28,30.59,1.00,30.87
111.00,2.00,0.00,0.48,0.00,0.00,0.48
112.00,2.00,1.50,0.48,0.00,0.00,1.98
119.00,2.00,0.00,0.48,52.98,1.00,53.46
8553.00,3.00,1.50,0.99,0.00,0.00,2.50
15681.00,4.00,0.00,0.28,0.00,0.00,0.28
120.00,2.00,0.00,0.48,0.00,0.00,0.48
121.00,2.00,1.50,0.48,0.00,0.00,1.98
8560.00,3.00,1.50,0.99,0.00,0.00,2.50
15684.00,4.00,0.00,0.28,0.00,0.00,0.28
15686.00,4.00,0.00,0.28,30.59,1.00,30.87
129.00,2.00,0.00,0.48,0.00,0.00,0.48
130.00,2.00,1.50,0.48,0.00,0.00,1.98
8567.00,3.00,1.50,0.99,0.00,0.00,2.50
15687.00,4.00,0.47,0.28,0.00,0.00,0.74
15688.00,4.00,0.00,0.28,30.59,1.00,30.87
138.00,2.00,0.00,0.48,0.00,0.00,0.48
139.00,2.00,1.50,0.48,0.00,0.00,1.98
