" "," "
Time,2023-06-03 08:57:08.591545302 +0100 BST m=+0.254989962
Toponame,./config/pi_nodes.csv
RequestFile,./config/sorted.csv
MemCap,1000.000
NodeNum,10
Beta,1.000
SlotNum,30
ReduFactor,10000.000
Token,local
Alpha,0.001
CommCostPara,1.000
Testbed,0
CpuFreq,3.000
" "," "
ID,funcType,commCost,runCost,instanCost,iscold,singlecost
0.00,1.00,0.00,0.17,18.62,1.00,18.78
1.00,1.00,0.00,0.17,18.62,1.00,18.78
2.00,1.00,0.00,0.17,18.62,1.00,18.78
3.00,1.00,0.00,0.17,18.62,1.00,18.78
4.00,1.00,0.00,0.17,18.62,1.00,18.78
5.00,1.00,0.00,0.17,18.62,1.00,18.78
6.00,1.00,0.00,0.17,18.62,1.00,18.78
7.00,1.00,0.00,0.17,18.62,1.00,18.78
8.00,2.00,0.00,0.48,52.98,1.00,53.46
9.00,2.00,0.00,0.48,52.98,1.00,53.46
10.00,2.00,0.00,0.48,52.98,1.00,53.46
11.00,2.00,0.00,0.48,52.98,1.00,53.46
12.00,2.00,0.00,0.48,52.98,1.00,53.46
13.00,2.00,0.00,0.48,52.98,1.00,53.46
14.00,2.00,0.00,0.48,52.98,1.00,53.46
15.00,2.00,0.00,0.48,52.98,1.00,53.46
16.00,2.00,0.00,0.48,52.98,1.00,53.46
8475.00,3.00,0.00,0.99,110.37,1.00,111.36
8476.00,3.00,0.00,0.99,110.37,1.00,111.36
8477.00,3.00,0.00,0.99,110.37,1.00,111.36
8478.00,3.00,0.00,0.99,110.37,1.00,111.36
8479.00,3.00,0.00,0.99,110.37,1.00,111.36
8480.00,3.00,0.00,0.99,110.37,1.00,111.36
8481.00,3.00,0.00,0.99,110.37,1.00,111.36
8482.00,3.00,0.00,0.99,110.37,1.00,111.36
15649.00,4.00,0.00,0.28,30.59,1.00,30.87
15650.00,4.00,0.00,0.28,30.59,1.00,30.87
20.00,2.00,0.00,0.48,52.98,1.00,53.46
22.00,2.00,0.00,0.48,52.98,1.00,53.46
23.00,2.00,0.00,0.48,52.98,1.00,53.46
24.00,2.00,0.00,0.48,52.98,1.00,53.46
25.00,2.00,0.00,0.48,52.98,1.00,53.46
8487.00,3.00,0.00,0.99,110.37,1.00,111.36
8488.00,3.00,1.04,0.99,0.00,0.00,2.03
8489.00,3.00,1.50,0.99,0.00,0.00,2.50
15652.00,4.00,0.66,0.28,0.00,0.00,0.93
15653.00,4.00,0.00,0.28,30.59,1.00,30.87
27.00,2.00,1.38,0.48,0.00,0.00,1.86
28.00,2.00,1.38,0.48,0.00,0.00,1.86
29.00,2.00,0.00,0.48,52.98,1.00,53.46
30.00,2.00,0.00,0.48,52.98,1.00,53.46
31.00,2.00,0.00,0.48,52.98,1.00,53.46
32.00,2.00,0.00,0.48,52.98,1.00,53.46
33.00,2.00,0.00,0.48,52.98,1.00,53.46
34.00,2.00,0.00,0.48,52.98,1.00,53.46
8495.00,3.00,1.04,0.99,0.00,0.00,2.03
8496.00,3.00,0.00,0.99,110.37,1.00,111.36
15655.00,4.00,0.66,0.28,0.00,0.00,0.93
15656.00,4.00,0.00,0.28,30.59,1.00,30.87
35.00,2.00,1.38,0.48,0.00,0.00,1.86
36.00,2.00,1.38,0.48,0.00,0.00,1.86
37.00,2.00,0.00,0.48,52.98,1.00,53.46
38.00,2.00,0.00,0.48,52.98,1.00,53.46
39.00,2.00,0.00,0.48,52.98,1.00,53.46
40.00,2.00,0.00,0.48,52.98,1.00,53.46
41.00,2.00,0.00,0.48,52.98,1.00,53.46
42.00,2.00,0.00,0.48,52.98,1.00,53.46
43.00,2.00,0.00,0.48,52.98,1.00,53.46
8502.00,3.00,1.04,0.99,0.00,0.00,2.03
8503.00,3.00,0.00,0.99,110.37,1.00,111.36
15658.00,4.00,0.66,0.28,0.00,0.00,0.93
15659.00,4.00,0.00,0.28,30.59,1.00,30.87
51.00,2.00,0.00,0.48,52.98,1.00,53.46
52.00,2.00,0.00,0.48,52.98,1.00,53.46
8509.00,3.00,1.04,0.99,0.00,0.00,2.03
8510.00,3.00,0.00,0.99,110.37,1.00,111.36
15661.00,4.00,0.66,0.28,0.00,0.00,0.93
15662.00,4.00,0.00,0.28,30.59,1.00,30.87
54.00,2.00,1.38,0.48,0.00,0.00,1.86
55.00,2.00,1.38,0.48,0.00,0.00,1.86
56.00,2.00,0.00,0.48,52.98,1.00,53.46
57.00,2.00,0.00,0.48,52.98,1.00,53.46
58.00,2.00,0.00,0.48,52.98,1.00,53.46
59.00,2.00,0.00,0.48,52.98,1.00,53.46
60.00,2.00,0.00,0.48,52.98,1.00,53.46
61.00,2.00,0.00,0.48,52.98,1.00,53.46
8516.00,3.00,1.04,0.99,0.00,0.00,2.03
8517.00,3.00,0.00,0.99,110.37,1.00,111.36
15664.00,4.00,0.66,0.28,0.00,0.00,0.93
15665.00,4.00,0.00,0.28,30.59,1.00,30.87
62.00,2.00,1.38,0.48,0.00,0.00,1.86
63.00,2.00,1.38,0.48,0.00,0.00,1.86
64.00,2.00,0.00,0.48,52.98,1.00,53.46
65.00,2.00,0.00,0.48,52.98,1.00,53.46
66.00,2.00,0.00,0.48,52.98,1.00,53.46
67.00,2.00,0.00,0.48,52.98,1.00,53.46
68.00,2.00,0.00,0.48,52.98,1.00,53.46
69.00,2.00,0.00,0.48,52.98,1.00,53.46
70.00,2.00,0.00,0.48,52.98,1.00,53.46
8523.00,3.00,1.04,0.99,0.00,0.00,2.03
8524.00,3.00,0.00,0.99,110.37,1.00,111.36
15667.00,4.00,0.66,0.28,0.00,0.00,0.93
15668.00,4.00,0.00,0.28,30.59,1.00,30.87
78.00,2.00,1.09,0.48,0.00,0.00,1.57
81.00,2.00,0.74,0.48,0.00,0.00,1.21
8530.00,3.00,1.04,0.99,0.00,0.00,2.03
8531.00,3.00,0.00,0.99,110.37,1.00,111.36
15670.00,4.00,0.66,0.28,0.00,0.00,0.93
15671.00,4.00,0.00,0.28,30.59,1.00,30.87
87.00,2.00,0.92,0.48,0.00,0.00,1.39
88.00,2.00,0.00,0.48,52.98,1.00,53.46
89.00,2.00,0.00,0.48,52.98,1.00,53.46
90.00,2.00,0.00,0.48,52.98,1.00,53.46
8537.00,3.00,1.04,0.99,0.00,0.00,2.03
8538.00,3.00,0.00,0.99,110.37,1.00,111.36
15673.00,4.00,0.66,0.28,0.00,0.00,0.93
15674.00,4.00,0.00,0.28,30.59,1.00,30.87
96.00,2.00,0.92,0.48,0.00,0.00,1.39
97.00,2.00,0.00,0.48,52.98,1.00,53.46
98.00,2.00,0.00,0.48,52.98,1.00,53.46
99.00,2.00,0.00,0.48,52.98,1.00,53.46
100.00,2.00,0.00,0.48,52.98,1.00,53.46
101.00,2.00,0.00,0.48,52.98,1.00,53.46
8544.00,3.00,1.04,0.99,0.00,0.00,2.03
8545.00,3.00,0.00,0.99,110.37,1.00,111.36
