" "," "
Time,2023-06-02 17:20:19.963695511 +0100 BST m=+0.264847361
Toponame,./config/pi_nodes.csv
RequestFile,./config/sorted.csv
MemCap,1000.000
NodeNum,10
Beta,1.500
SlotNum,30
ReduFactor,10000.000
Token,local
Alpha,0.020
CommCostPara,1.000
Testbed,0
CpuFreq,3.000
" "," "
ID,funcType,commCost,runCost,instanCost,iscold,singlecost
0.00,1.00,0.00,3.35,18.62,1.00,21.97
1.00,1.00,0.00,3.35,18.62,1.00,21.97
2.00,1.00,0.00,3.35,18.62,1.00,21.97
3.00,1.00,0.00,3.35,18.62,1.00,21.97
4.00,1.00,0.00,3.35,18.62,1.00,21.97
5.00,1.00,0.00,3.35,18.62,1.00,21.97
6.00,1.00,0.00,3.35,18.62,1.00,21.97
7.00,1.00,0.00,3.35,18.62,1.00,21.97
8.00,2.00,0.00,9.54,52.98,1.00,62.52
9.00,2.00,0.00,9.54,52.98,1.00,62.52
10.00,2.00,0.00,9.54,52.98,1.00,62.52
11.00,2.00,0.00,9.54,52.98,1.00,62.52
12.00,2.00,0.00,9.54,52.98,1.00,62.52
13.00,2.00,0.00,9.54,52.98,1.00,62.52
14.00,2.00,0.00,9.54,52.98,1.00,62.52
15.00,2.00,0.00,9.54,52.98,1.00,62.52
16.00,2.00,0.00,9.54,52.98,1.00,62.52
8475.00,3.00,0.00,19.87,110.37,1.00,130.24
8476.00,3.00,0.00,19.87,110.37,1.00,130.24
8477.00,3.00,0.00,19.87,110.37,1.00,130.24
8478.00,3.00,0.00,19.87,110.37,1.00,130.24
8479.00,3.00,0.00,19.87,110.37,1.00,130.24
8480.00,3.00,0.00,19.87,110.37,1.00,130.24
8481.00,3.00,0.00,19.87,110.37,1.00,130.24
8482.00,3.00,0.00,19.87,110.37,1.00,130.24
15649.00,4.00,0.00,5.51,30.59,1.00,36.10
15650.00,4.00,0.00,5.51,30.59,1.00,36.10
23.00,2.00,0.00,9.54,52.98,1.00,62.52
24.00,2.00,0.00,9.54,52.98,1.00,62.52
25.00,2.00,0.00,9.54,52.98,1.00,62.52
8488.00,3.00,0.74,19.87,0.00,0.00,20.61
8489.00,3.00,1.50,19.87,0.00,0.00,21.37
15653.00,4.00,0.66,5.51,0.00,0.00,6.16
27.00,2.00,0.93,9.54,0.00,0.00,10.47
28.00,2.00,0.93,9.54,0.00,0.00,10.47
29.00,2.00,0.00,9.54,52.98,1.00,62.52
30.00,2.00,0.00,9.54,52.98,1.00,62.52
31.00,2.00,0.00,9.54,52.98,1.00,62.52
32.00,2.00,0.00,9.54,52.98,1.00,62.52
33.00,2.00,0.00,9.54,52.98,1.00,62.52
34.00,2.00,0.00,9.54,52.98,1.00,62.52
8495.00,3.00,0.74,19.87,0.00,0.00,20.61
8496.00,3.00,0.00,19.87,110.37,1.00,130.24
15656.00,4.00,0.66,5.51,0.00,0.00,6.16
41.00,2.00,0.00,9.54,52.98,1.00,62.52
42.00,2.00,0.00,9.54,52.98,1.00,62.52
43.00,2.00,0.00,9.54,52.98,1.00,62.52
8502.00,3.00,0.93,19.87,0.00,0.00,20.79
8503.00,3.00,0.00,19.87,110.37,1.00,130.24
15659.00,4.00,0.66,5.51,0.00,0.00,6.16
45.00,2.00,0.93,9.54,0.00,0.00,10.47
46.00,2.00,0.93,9.54,0.00,0.00,10.47
47.00,2.00,0.93,9.54,0.00,0.00,10.47
48.00,2.00,0.00,9.54,52.98,1.00,62.52
49.00,2.00,0.00,9.54,52.98,1.00,62.52
50.00,2.00,0.00,9.54,52.98,1.00,62.52
51.00,2.00,0.00,9.54,52.98,1.00,62.52
52.00,2.00,0.00,9.54,52.98,1.00,62.52
8509.00,3.00,0.93,19.87,0.00,0.00,20.79
8510.00,3.00,0.00,19.87,110.37,1.00,130.24
15662.00,4.00,0.66,5.51,0.00,0.00,6.16
53.00,2.00,0.93,9.54,0.00,0.00,10.47
54.00,2.00,0.93,9.54,0.00,0.00,10.47
55.00,2.00,0.00,9.54,52.98,1.00,62.52
56.00,2.00,0.00,9.54,52.98,1.00,62.52
57.00,2.00,0.00,9.54,52.98,1.00,62.52
58.00,2.00,0.00,9.54,52.98,1.00,62.52
59.00,2.00,0.00,9.54,52.98,1.00,62.52
60.00,2.00,0.00,9.54,52.98,1.00,62.52
61.00,2.00,0.00,9.54,52.98,1.00,62.52
8516.00,3.00,0.93,19.87,0.00,0.00,20.79
8517.00,3.00,0.00,19.87,110.37,1.00,130.24
15665.00,4.00,0.66,5.51,0.00,0.00,6.16
8523.00,3.00,0.93,19.87,0.00,0.00,20.79
8524.00,3.00,0.00,19.87,110.37,1.00,130.24
15668.00,4.00,0.66,5.51,0.00,0.00,6.16
72.00,2.00,0.93,9.54,0.00,0.00,10.47
73.00,2.00,0.00,9.54,52.98,1.00,62.52
74.00,2.00,0.00,9.54,52.98,1.00,62.52
75.00,2.00,0.00,9.54,52.98,1.00,62.52
76.00,2.00,0.00,9.54,52.98,1.00,62.52
77.00,2.00,0.00,9.54,52.98,1.00,62.52
78.00,2.00,0.00,9.54,52.98,1.00,62.52
79.00,2.00,0.00,9.54,52.98,1.00,62.52
80.00,2.00,0.00,9.54,52.98,1.00,62.52
81.00,2.00,0.00,9.54,52.98,1.00,62.52
8530.00,3.00,0.93,19.87,0.00,0.00,20.79
8531.00,3.00,0.00,19.87,110.37,1.00,130.24
15671.00,4.00,0.66,5.51,0.00,0.00,6.16
8537.00,3.00,0.93,19.87,0.00,0.00,20.79
8538.00,3.00,0.00,19.87,110.37,1.00,130.24
15674.00,4.00,0.66,5.51,0.00,0.00,6.16
