" "," "
Time,2023-06-01 21:28:53.611920318 +0100 BST m=+0.067663078
Toponame,./config/pi_nodes.csv
RequestFile,./config/sorted.csv
MemCap,1000.000
NodeNum,10
Beta,1.500
SlotNum,30
ReduFactor,10000.000
Token,local
Alpha,0.010
CommCostPara,1.000
Testbed,0
CpuFreq,3.000
" "," "
ID,funcType,commCost,runCost,instanCost,iscold,singlecost
0.00,1.00,0.00,0.00,0.00,1.00,0.00
1.00,1.00,0.00,0.00,0.00,1.00,0.00
2.00,1.00,0.00,0.00,0.00,1.00,0.00
3.00,1.00,0.00,0.00,0.00,1.00,0.00
4.00,1.00,0.00,0.00,0.00,1.00,0.00
5.00,1.00,0.00,0.00,0.00,1.00,0.00
6.00,1.00,0.00,0.00,0.00,1.00,0.00
7.00,1.00,0.00,0.00,0.00,1.00,0.00
8.00,2.00,0.00,0.00,0.00,1.00,0.00
9.00,2.00,0.00,0.00,0.00,1.00,0.00
10.00,2.00,0.00,0.00,0.00,1.00,0.00
11.00,2.00,0.00,0.00,0.00,1.00,0.00
12.00,2.00,0.00,0.00,0.00,1.00,0.00
13.00,2.00,0.00,0.00,0.00,1.00,0.00
14.00,2.00,0.00,0.00,0.00,1.00,0.00
15.00,2.00,0.00,0.00,0.00,1.00,0.00
16.00,2.00,0.00,0.00,0.00,1.00,0.00
8479.00,3.00,0.00,0.00,0.00,1.00,0.00
8480.00,3.00,0.00,0.00,0.00,1.00,0.00
8481.00,3.00,0.00,0.00,0.00,1.00,0.00
8482.00,3.00,0.00,0.00,0.00,1.00,0.00
15649.00,4.00,0.00,0.00,0.00,1.00,0.00
15650.00,4.00,0.00,0.00,0.00,1.00,0.00
17.00,2.00,0.00,0.00,0.00,0.00,0.00
18.00,2.00,0.00,0.00,0.00,0.00,0.00
19.00,2.00,0.93,0.00,0.00,0.00,0.93
20.00,2.00,0.00,0.00,0.00,1.00,0.00
21.00,2.00,0.00,0.00,0.00,1.00,0.00
22.00,2.00,0.00,0.00,0.00,1.00,0.00
23.00,2.00,0.00,0.00,0.00,1.00,0.00
24.00,2.00,0.00,0.00,0.00,1.00,0.00
25.00,2.00,0.00,0.00,0.00,1.00,0.00
8483.00,3.00,0.93,0.00,0.00,0.00,0.93
8487.00,3.00,0.00,0.00,0.00,1.00,0.00
8488.00,3.00,0.00,0.00,0.00,1.00,0.00
8489.00,3.00,0.00,0.00,0.00,1.00,0.00
15651.00,4.00,0.00,0.00,0.00,1.00,0.00
26.00,2.00,0.00,0.00,0.00,0.00,0.00
27.00,2.00,0.00,0.00,0.00,0.00,0.00
28.00,2.00,0.93,0.00,0.00,0.00,0.93
29.00,2.00,0.46,0.00,0.00,0.00,0.46
30.00,2.00,0.00,0.00,0.00,1.00,0.00
32.00,2.00,0.00,0.00,0.00,1.00,0.00
33.00,2.00,0.00,0.00,0.00,1.00,0.00
34.00,2.00,0.00,0.00,0.00,1.00,0.00
8490.00,3.00,1.50,0.00,0.00,0.00,1.50
8495.00,3.00,0.00,0.00,0.00,1.00,0.00
8496.00,3.00,0.00,0.00,0.00,1.00,0.00
15654.00,4.00,0.00,0.00,0.00,1.00,0.00
15656.00,4.00,0.00,0.00,0.00,1.00,0.00
35.00,2.00,0.00,0.00,0.00,0.00,0.00
36.00,2.00,0.93,0.00,0.00,0.00,0.93
37.00,2.00,0.46,0.00,0.00,0.00,0.46
41.00,2.00,0.00,0.00,0.00,1.00,0.00
42.00,2.00,0.00,0.00,0.00,1.00,0.00
43.00,2.00,0.00,0.00,0.00,1.00,0.00
8497.00,3.00,1.50,0.00,0.00,0.00,1.50
8502.00,3.00,0.00,0.00,0.00,1.00,0.00
8503.00,3.00,0.00,0.00,0.00,1.00,0.00
15657.00,4.00,0.00,0.00,0.00,1.00,0.00
44.00,2.00,0.00,0.00,0.00,0.00,0.00
45.00,2.00,0.93,0.00,0.00,0.00,0.93
51.00,2.00,0.00,0.00,0.00,1.00,0.00
52.00,2.00,0.00,0.00,0.00,1.00,0.00
8504.00,3.00,1.50,0.00,0.00,0.00,1.50
15660.00,4.00,0.00,0.00,0.00,1.00,0.00
53.00,2.00,0.00,0.00,0.00,0.00,0.00
54.00,2.00,0.93,0.00,0.00,0.00,0.93
60.00,2.00,0.00,0.00,0.00,1.00,0.00
61.00,2.00,0.00,0.00,0.00,1.00,0.00
8511.00,3.00,1.50,0.00,0.00,0.00,1.50
15663.00,4.00,0.00,0.00,0.00,1.00,0.00
62.00,2.00,0.00,0.00,0.00,0.00,0.00
63.00,2.00,0.93,0.00,0.00,0.00,0.93
8518.00,3.00,1.50,0.00,0.00,0.00,1.50
15666.00,4.00,0.00,0.00,0.00,1.00,0.00
71.00,2.00,0.00,0.00,0.00,0.00,0.00
72.00,2.00,0.93,0.00,0.00,0.00,0.93
79.00,2.00,0.00,0.00,0.00,1.00,0.00
80.00,2.00,0.00,0.00,0.00,1.00,0.00
81.00,2.00,0.00,0.00,0.00,1.00,0.00
15669.00,4.00,0.00,0.00,0.00,1.00,0.00
82.00,2.00,0.00,0.00,0.00,0.00,0.00
83.00,2.00,1.50,0.00,0.00,0.00,1.50
15672.00,4.00,0.00,0.00,0.00,1.00,0.00
91.00,2.00,0.00,0.00,0.00,0.00,0.00
92.00,2.00,1.50,0.00,0.00,0.00,1.50
99.00,2.00,0.00,0.00,0.00,1.00,0.00
100.00,2.00,0.00,0.00,0.00,1.00,0.00
101.00,2.00,0.00,0.00,0.00,1.00,0.00
15675.00,4.00,0.00,0.00,0.00,1.00,0.00
102.00,2.00,0.00,0.00,0.00,0.00,0.00
103.00,2.00,1.50,0.00,0.00,0.00,1.50
15678.00,4.00,0.00,0.00,0.00,1.00,0.00
111.00,2.00,0.00,0.00,0.00,0.00,0.00
112.00,2.00,1.50,0.00,0.00,0.00,1.50
15681.00,4.00,0.00,0.00,0.00,1.00,0.00
120.00,2.00,0.00,0.00,0.00,0.00,0.00
121.00,2.00,1.50,0.00,0.00,0.00,1.50
15684.00,4.00,0.00,0.00,0.00,1.00,0.00
