" "," "
Toponame,./config/pi_nodes.csv
RequestFile,./config/sorted.csv
MemCap,1000.000
NodeNum,10
Beta,1.500
SlotNum,30
ReduFactor,10000.000
Token,local
Alpha,0.050
CommCostPara,1.000
Testbed,0
CpuFreq,3.000
" "," "
ID,funcType,commCost,runCost,instanCost,iscold,singlecost
0.00,1.00,0.00,8.38,18.62,1.00,26.99
1.00,1.00,0.00,8.38,18.62,1.00,26.99
2.00,1.00,0.00,8.38,18.62,1.00,26.99
3.00,1.00,0.00,8.38,18.62,1.00,26.99
4.00,1.00,0.00,8.38,18.62,1.00,26.99
5.00,1.00,0.00,8.38,18.62,1.00,26.99
6.00,1.00,0.00,8.38,18.62,1.00,26.99
7.00,1.00,0.00,8.38,18.62,1.00,26.99
8.00,2.00,0.00,23.84,52.98,1.00,76.82
9.00,2.00,0.00,23.84,52.98,1.00,76.82
10.00,2.00,0.00,23.84,52.98,1.00,76.82
11.00,2.00,0.00,23.84,52.98,1.00,76.82
12.00,2.00,0.00,23.84,52.98,1.00,76.82
13.00,2.00,0.00,23.84,52.98,1.00,76.82
14.00,2.00,0.00,23.84,52.98,1.00,76.82
15.00,2.00,0.00,23.84,52.98,1.00,76.82
16.00,2.00,0.00,23.84,52.98,1.00,76.82
8479.00,3.00,0.00,49.67,110.37,1.00,160.04
8480.00,3.00,0.00,49.67,110.37,1.00,160.04
8481.00,3.00,0.00,49.67,110.37,1.00,160.04
8482.00,3.00,0.00,49.67,110.37,1.00,160.04
15649.00,4.00,0.00,13.77,30.59,1.00,44.36
15650.00,4.00,0.00,13.77,30.59,1.00,44.36
17.00,2.00,0.00,23.84,0.00,0.00,23.84
18.00,2.00,0.00,23.84,0.00,0.00,23.84
19.00,2.00,0.93,23.84,0.00,0.00,24.77
21.00,2.00,0.00,23.84,52.98,1.00,76.82
22.00,2.00,0.00,23.84,52.98,1.00,76.82
23.00,2.00,0.00,23.84,52.98,1.00,76.82
24.00,2.00,0.00,23.84,52.98,1.00,76.82
25.00,2.00,0.00,23.84,52.98,1.00,76.82
8483.00,3.00,0.93,49.67,0.00,0.00,50.60
8488.00,3.00,0.00,49.67,110.37,1.00,160.04
8489.00,3.00,0.00,49.67,110.37,1.00,160.04
15651.00,4.00,0.00,13.77,0.00,0.00,13.77
15652.00,4.00,0.00,13.77,30.59,1.00,44.36
15653.00,4.00,0.00,13.77,30.59,1.00,44.36
26.00,2.00,0.00,23.84,0.00,0.00,23.84
27.00,2.00,0.93,23.84,0.00,0.00,24.77
28.00,2.00,0.46,23.84,0.00,0.00,24.30
30.00,2.00,0.00,23.84,52.98,1.00,76.82
32.00,2.00,0.00,23.84,52.98,1.00,76.82
33.00,2.00,0.00,23.84,52.98,1.00,76.82
34.00,2.00,0.00,23.84,52.98,1.00,76.82
8490.00,3.00,1.50,49.67,0.00,0.00,51.17
8495.00,3.00,0.00,49.67,110.37,1.00,160.04
8496.00,3.00,0.00,49.67,110.37,1.00,160.04
15654.00,4.00,0.47,13.77,0.00,0.00,14.23
15655.00,4.00,0.00,13.77,30.59,1.00,44.36
35.00,2.00,0.00,23.84,0.00,0.00,23.84
36.00,2.00,0.93,23.84,0.00,0.00,24.77
37.00,2.00,0.46,23.84,0.00,0.00,24.30
38.00,2.00,0.00,23.84,52.98,1.00,76.82
41.00,2.00,0.00,23.84,52.98,1.00,76.82
42.00,2.00,0.00,23.84,52.98,1.00,76.82
43.00,2.00,0.00,23.84,52.98,1.00,76.82
8497.00,3.00,1.50,49.67,0.00,0.00,51.17
8502.00,3.00,0.00,49.67,110.37,1.00,160.04
15657.00,4.00,0.47,13.77,0.00,0.00,14.23
15659.00,4.00,0.00,13.77,30.59,1.00,44.36
44.00,2.00,0.00,23.84,0.00,0.00,23.84
45.00,2.00,0.93,23.84,0.00,0.00,24.77
51.00,2.00,0.00,23.84,52.98,1.00,76.82
52.00,2.00,0.00,23.84,52.98,1.00,76.82
8504.00,3.00,1.50,49.67,0.00,0.00,51.17
15660.00,4.00,0.47,13.77,0.00,0.00,14.23
15662.00,4.00,0.00,13.77,30.59,1.00,44.36
53.00,2.00,0.00,23.84,0.00,0.00,23.84
54.00,2.00,0.93,23.84,0.00,0.00,24.77
60.00,2.00,0.00,23.84,52.98,1.00,76.82
8511.00,3.00,1.50,49.67,0.00,0.00,51.17
15663.00,4.00,0.47,13.77,0.00,0.00,14.23
62.00,2.00,0.00,23.84,0.00,0.00,23.84
63.00,2.00,0.93,23.84,0.00,0.00,24.77
68.00,2.00,0.00,23.84,52.98,1.00,76.82
8518.00,3.00,1.50,49.67,0.00,0.00,51.17
71.00,2.00,0.00,23.84,0.00,0.00,23.84
72.00,2.00,0.93,23.84,0.00,0.00,24.77
79.00,2.00,0.00,23.84,52.98,1.00,76.82
80.00,2.00,0.00,23.84,52.98,1.00,76.82
81.00,2.00,0.00,23.84,52.98,1.00,76.82
8525.00,3.00,1.50,49.67,0.00,0.00,51.17
82.00,2.00,0.00,23.84,0.00,0.00,23.84
83.00,2.00,1.50,23.84,0.00,0.00,25.34
8532.00,3.00,1.50,49.67,0.00,0.00,51.17
91.00,2.00,0.00,23.84,0.00,0.00,23.84
92.00,2.00,1.50,23.84,0.00,0.00,25.34
99.00,2.00,0.00,23.84,52.98,1.00,76.82
100.00,2.00,0.00,23.84,52.98,1.00,76.82
101.00,2.00,0.00,23.84,52.98,1.00,76.82
8539.00,3.00,1.50,49.67,0.00,0.00,51.17
102.00,2.00,0.00,23.84,0.00,0.00,23.84
103.00,2.00,1.50,23.84,0.00,0.00,25.34
8546.00,3.00,1.50,49.67,0.00,0.00,51.17
111.00,2.00,0.00,23.84,0.00,0.00,23.84
112.00,2.00,1.50,23.84,0.00,0.00,25.34
8553.00,3.00,1.50,49.67,0.00,0.00,51.17
120.00,2.00,0.00,23.84,0.00,0.00,23.84
121.00,2.00,1.50,23.84,0.00,0.00,25.34
8560.00,3.00,1.50,49.67,0.00,0.00,51.17
129.00,2.00,0.00,23.84,0.00,0.00,23.84
130.00,2.00,1.50,23.84,0.00,0.00,25.34
8567.00,3.00,1.50,49.67,0.00,0.00,51.17
138.00,2.00,0.00,23.84,0.00,0.00,23.84
139.00,2.00,1.50,23.84,0.00,0.00,25.34
8574.00,3.00,1.50,49.67,0.00,0.00,51.17
147.00,2.00,0.00,23.84,0.00,0.00,23.84
148.00,2.00,1.50,23.84,0.00,0.00,25.34
8581.00,3.00,1.50,49.67,0.00,0.00,51.17
156.00,2.00,0.00,23.84,0.00,0.00,23.84
157.00,2.00,1.50,23.84,0.00,0.00,25.34
8588.00,3.00,1.50,49.67,0.00,0.00,51.17
165.00,2.00,0.00,23.84,0.00,0.00,23.84
166.00,2.00,1.50,23.84,0.00,0.00,25.34
173.00,2.00,0.00,23.84,52.98,1.00,76.82
8595.00,3.00,1.50,49.67,0.00,0.00,51.17
174.00,2.00,0.00,23.84,0.00,0.00,23.84
175.00,2.00,1.50,23.84,0.00,0.00,25.34
8602.00,3.00,1.50,49.67,0.00,0.00,51.17
15703.00,4.00,0.00,13.77,30.59,1.00,44.36
183.00,2.00,0.00,23.84,0.00,0.00,23.84
184.00,2.00,1.50,23.84,0.00,0.00,25.34
8609.00,3.00,1.50,49.67,0.00,0.00,51.17
192.00,2.00,0.00,23.84,0.00,0.00,23.84
193.00,2.00,1.50,23.84,0.00,0.00,25.34
8616.00,3.00,1.50,49.67,0.00,0.00,51.17
201.00,2.00,0.00,23.84,0.00,0.00,23.84
202.00,2.00,1.50,23.84,0.00,0.00,25.34
8623.00,3.00,1.50,49.67,0.00,0.00,51.17
210.00,2.00,0.00,23.84,0.00,0.00,23.84
211.00,2.00,1.50,23.84,0.00,0.00,25.34
8630.00,3.00,1.50,49.67,0.00,0.00,51.17
219.00,2.00,0.00,23.84,0.00,0.00,23.84
220.00,2.00,1.50,23.84,0.00,0.00,25.34
8637.00,3.00,1.50,49.67,0.00,0.00,51.17
228.00,2.00,0.00,23.84,0.00,0.00,23.84
229.00,2.00,1.50,23.84,0.00,0.00,25.34
8644.00,3.00,1.50,49.67,0.00,0.00,51.17
237.00,2.00,0.00,23.84,0.00,0.00,23.84
238.00,2.00,1.50,23.84,0.00,0.00,25.34
8651.00,3.00,1.50,49.67,0.00,0.00,51.17
246.00,2.00,0.00,23.84,0.00,0.00,23.84
247.00,2.00,1.50,23.84,0.00,0.00,25.34
